# wave number [cm^-1];  intensity;  intensity^2
4723.33;  4.15684E-08;  1.72793E-15
4734.19;  1.4506E-07;  2.10425E-14
4745.04;  2.75835E-07;  7.60847E-14
4755.9;  4.13955E-07;  1.71359E-13
4766.76;  5.36706E-07;  2.88053E-13
4777.62;  6.24746E-07;  3.90308E-13
4788.48;  6.67409E-07;  4.45435E-13
4799.33;  6.65387E-07;  4.4274E-13
4810.19;  6.29923E-07;  3.96804E-13
4821.05;  5.78866E-07;  3.35086E-13
4831.91;  5.31002E-07;  2.81963E-13
4842.77;  5.00688E-07;  2.50689E-13
4853.63;  4.94614E-07;  2.44643E-13
4864.48;  5.11715E-07;  2.61853E-13
4875.34;  5.46103E-07;  2.98228E-13
4886.2;  5.91721E-07;  3.50133E-13
4897.06;  6.46832E-07;  4.18392E-13
4907.92;  7.16408E-07;  5.13241E-13
4918.77;  8.11148E-07;  6.57961E-13
4929.63;  9.43008E-07;  8.89265E-13
4940.49;  1.11835E-06;  1.2507E-12
4951.35;  1.33091E-06;  1.77133E-12
4962.21;  1.55742E-06;  2.42556E-12
4973.07;  1.75832E-06;  3.09168E-12
4983.92;  1.8853E-06;  3.55437E-12
4994.78;  1.8952E-06;  3.5918E-12
