# Tau [ps];  Dipole autocorrelation
0.2615000023;  -6.587860544E-08
0.2620000023;  -7.692419100E-08
0.2625000023;  -8.752542161E-08
0.2630000023;  -9.577169468E-08
0.2635000023;  -9.289595965E-08
0.2640000023;  -8.971920642E-08
0.2645000023;  -9.987355122E-08
0.2650000023;  -1.087756145E-07
0.2655000023;  -1.043862622E-07
0.2660000023;  -9.485573993E-08
0.2665000023;  -8.993783722E-08
0.2670000023;  -9.505192548E-08
0.2675000023;  -1.124010048E-07
0.2680000023;  -1.422902426E-07
0.2685000023;  -1.781254296E-07
0.2690000023;  -2.098072496E-07
0.2695000023;  -2.433023676E-07
0.2700000023;  -2.733352746E-07
0.2705000024;  -2.674815159E-07
0.2710000024;  -2.251441396E-07
0.2715000024;  -1.776908419E-07
0.2720000024;  -1.435408260E-07
0.2725000024;  -1.233639704E-07
0.2730000024;  -1.127843464E-07
0.2735000024;  -1.109685516E-07
0.2740000024;  -1.148175604E-07
0.2745000024;  -1.191594918E-07
0.2750000024;  -1.225872056E-07
0.2755000024;  -1.249940575E-07
0.2760000024;  -1.182082421E-07
0.2765000024;  -9.731606029E-08
0.2770000024;  -8.192555370E-08
0.2775000024;  -8.328281326E-08
0.2780000024;  -8.505637700E-08
0.2785000024;  -7.721662171E-08
0.2790000024;  -5.849544285E-08
0.2795000024;  -3.215132710E-08
0.2800000024;  -1.957928771E-08
0.2805000024;  -3.674656248E-08
0.2810000024;  -6.282809116E-08
0.2815000024;  -7.100712341E-08
0.2820000025;  -6.742372734E-08
0.2825000025;  -8.808372597E-08
0.2830000025;  -1.229846557E-07
0.2835000025;  -1.139030144E-07
0.2840000025;  -7.222953244E-08
0.2845000025;  -4.479070603E-08
0.2850000025;  -3.802773160E-08
0.2855000025;  -4.458877004E-08
0.2860000025;  -6.091576907E-08
0.2865000025;  -8.268563959E-08
0.2870000025;  -1.059915749E-07
0.2875000025;  -1.303907646E-07
0.2880000025;  -1.495918096E-07
0.2885000025;  -1.573552673E-07
0.2890000025;  -1.567643047E-07
0.2895000025;  -1.553449696E-07
0.2900000025;  -1.590458389E-07
0.2905000025;  -1.639300126E-07
0.2910000025;  -1.573010719E-07
0.2915000025;  -1.476554781E-07
0.2920000025;  -1.599614739E-07
0.2925000025;  -1.835488273E-07
0.2930000025;  -1.979940600E-07
0.2935000026;  -2.137632553E-07
0.2940000026;  -2.378125086E-07
0.2945000026;  -2.578617114E-07
0.2950000026;  -2.725471888E-07
0.2955000026;  -2.850334589E-07
0.2960000026;  -2.791448251E-07
0.2965000026;  -2.497249157E-07
0.2970000026;  -2.207355889E-07
0.2975000026;  -1.964637066E-07
0.2980000026;  -1.633504710E-07
0.2985000026;  -1.317121904E-07
0.2990000026;  -1.108941148E-07
0.2995000026;  -1.034643971E-07
0.3000000026;  -1.096450705E-07
0.3005000026;  -1.206030752E-07
0.3010000026;  -1.315522720E-07
0.3015000026;  -1.425553953E-07
0.3020000026;  -1.486984187E-07
0.3025000026;  -1.427633107E-07
0.3030000026;  -1.312685188E-07
0.3035000026;  -1.194261945E-07
0.3040000026;  -9.188712923E-08
0.3045000026;  -4.697488232E-08
0.3050000027;  -1.550091253E-08
0.3055000027;  -1.998118337E-08
0.3060000027;  -4.933261990E-08
0.3065000027;  -7.721127559E-08
0.3070000027;  -9.007036904E-08
0.3075000027;  -9.489021895E-08
0.3080000027;  -1.009153651E-07
0.3085000027;  -9.589621527E-08
0.3090000027;  -7.212903918E-08
0.3095000027;  -6.226076636E-08
0.3100000027;  -7.084326240E-08
0.3105000027;  -6.691781081E-08
0.3110000027;  -5.590956088E-08
0.3115000027;  -5.456098012E-08
0.3120000027;  -6.863469876E-08
0.3125000027;  -9.504851101E-08
0.3130000027;  -1.190675192E-07
0.3135000027;  -1.336318675E-07
0.3140000027;  -1.413203796E-07
0.3145000027;  -1.443057065E-07
0.3150000027;  -1.466958040E-07
0.3155000027;  -1.505724466E-07
0.3160000027;  -1.407346577E-07
0.3165000028;  -9.600071925E-08
0.3170000028;  -6.803952033E-08
0.3175000028;  -1.085989063E-07
0.3180000028;  -1.491049655E-07
0.3185000028;  -1.521221383E-07
0.3190000028;  -1.580599049E-07
0.3195000028;  -1.745831431E-07
0.3200000028;  -1.911232991E-07
0.3205000028;  -2.018590109E-07
0.3210000028;  -1.895590700E-07
0.3215000028;  -1.464473348E-07
0.3220000028;  -1.050933521E-07
0.3225000028;  -1.019239929E-07
0.3230000028;  -1.379612895E-07
0.3235000028;  -1.500970998E-07
0.3240000028;  -1.023917621E-07
0.3245000028;  -6.585821405E-08
0.3250000028;  -5.610472926E-08
0.3255000028;  -4.191799478E-08
0.3260000028;  -4.270666479E-08
0.3265000028;  -6.452690279E-08
0.3270000028;  -9.270387728E-08
0.3275000028;  -1.189608258E-07
0.3280000029;  -1.388428960E-07
0.3285000029;  -1.431135760E-07
0.3290000029;  -1.019678958E-07
0.3295000029;  -1.620780388E-08
0.3300000029;  4.816047675E-08
0.3305000029;  4.081401404E-08
0.3310000029;  -1.327215624E-08
0.3315000029;  -5.053417251E-08
0.3320000029;  -5.689046272E-08
0.3325000029;  -5.422500724E-08
0.3330000029;  -5.258297029E-08
0.3335000029;  -4.968326509E-08
0.3340000029;  -2.988408899E-08
0.3345000029;  7.444901934E-09
0.3350000029;  4.520656317E-08
0.3355000029;  2.526595407E-08
0.3360000029;  -4.482776181E-08
0.3365000029;  -6.322091292E-08
